id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;寒風山回転展望台;かんぷうざんかいてんてんぼうだい;bkyu;秋田県;男鹿市;39.916389;139.832500;秋田県男鹿市脇本富永字寒風山1-1;回転床は緩やかだが段差あり。山頂風強く帽子等の飛散注意。冬季積雪で閉鎖期間あり;https://akita-yulala.jp/spot/0103;採用
;最御崎寺（室戸岬）;ほつみさきじ;folk;高知県;室戸市;33.249722;134.176389;高知県室戸市室戸岬町4058-1;四国霊場第24番札所・公開寺院で安全。室戸岬周辺は強風・高波注意。岬遊歩道は滑落注意区間あり;https://www.muroto-geo.jp/;採用
;龍河洞;りゅうがどう;nature;高知県;香美市;33.633056;133.768611;高知県香美市土佐山田町逆川1424;国天然記念物・観光コースは整備済。冒険コースはヘルメット必須・要予約。洞内滑りやすい;https://ryugadou.or.jp/;採用
;池島炭鉱（廃坑ツアー）;いけしまたんこう;ruin;長崎県;長崎市;32.973056;129.555000;長崎県長崎市池島町;離島・要事前予約。坑道見学はヘルメット・ライト着装。元炭鉱マンガイド帯同。フェリーアクセス;https://www.city.nagasaki.lg.jp/;採用
;湯之平展望所（桜島）;ゆのひらてんぼうじょ;nature;鹿児島県;鹿児島市;31.595278;130.640556;鹿児島県鹿児島市桜島小池町1025;桜島火山活動状況により入山規制あり。気象庁噴火警戒レベル要確認。降灰時はマスク推奨;https://www.sakurajima.gr.jp/;採用
;仙巌園・旧集成館反射炉跡;せんがんえん・きゅうしゅうせいかんはんしゃろあと;ruin;鹿児島県;鹿児島市;31.621389;130.586944;鹿児島県鹿児島市吉野町9700-1;世界文化遺産・整備された有料観光施設で安全。反射炉跡は屋外石組基礎;https://www.senganen.jp/;採用
;摩周湖;ましゅうこ;nature;北海道;弟子屈町;43.580278;144.530556;北海道川上郡弟子屈町弟子屈原野(摩周湖第一展望台);湖面立入は禁止・展望台のみ。冬季は道路凍結・吹雪注意。霧多発で視界悪化;https://www.masyuko.or.jp/;採用
;龍泉洞;りゅうせんどう;nature;岩手県;岩泉町;39.847500;141.798889;岩手県下閉伊郡岩泉町岩泉神成1-1;日本三大鍾乳洞・観光コース整備済。洞内気温10度前後・滑りやすい。地底湖近接区間あり;https://www.iwate-ryusendo.jp/;採用
;御釜（蔵王連峰）;おかま;nature;宮城県;蔵王町;38.143889;140.460278;宮城県刈田郡蔵王町遠刈田温泉倉石岳国有林;強酸性湖・湖岸立入禁止。火山活動状況で立入規制。蔵王エコーライン冬季閉鎖(11月初〜4月下旬);https://www.zao-machi.com/;採用
;飯盛山さざえ堂（旧正宗寺三匝堂）;いいもりやまさざえどう;folk;福島県;会津若松市;37.503611;139.939167;福島県会津若松市一箕町大字八幡字弁天下1404;国重要文化財・有料拝観で安全管理。二重らせん木造階段は手すりあり・滑り注意;https://www.geocities.jp/sazaedo3/;採用
