id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;珍宝館;ちんぽうかん;bkyu;群馬県;北群馬郡吉岡町;36.466367;138.965948;群馬県北群馬郡吉岡町上野田3368-5;成人向け展示あり・入館料・営業時間内;https://ja.wikipedia.org/wiki/%E7%8F%8D%E5%AE%9D%E9%A4%A8;採用
;命と性ミュージアム女神館;いのちとせいみゅーじあむめがみかん;bkyu;群馬県;北群馬郡吉岡町;36.467000;138.966000;群馬県北群馬郡吉岡町上野田1256-72;成人向け展示あり・入館料・営業時間内;https://welove.gunma.jp/spot/8033/;採用
;熱海秘宝館;あたみひほうかん;bkyu;静岡県;熱海市;35.086500;139.073800;静岡県熱海市和田浜南町8-15;成人向け展示あり・入館料・営業時間内;https://ja.wikipedia.org/wiki/%E7%86%B1%E6%B5%B7%E7%A7%98%E5%AE%9D%E9%A4%A8;採用
;まぼろし博覧会;まぼろしはくらんかい;bkyu;静岡県;伊東市;34.913000;139.121000;静岡県伊東市富戸1310-1;営業時間内・入館料・撮影自由;https://ja.wikipedia.org/wiki/%E3%81%BE%E3%81%BC%E3%82%8D%E3%81%97%E5%8D%9A%E8%A6%A7%E4%BC%9A;採用
;水木しげる記念館;みずきしげるきねんかん;bkyu;鳥取県;境港市;35.544000;133.235000;鳥取県境港市本町5;営業時間内・水木しげるロード徒歩圏;https://ja.wikipedia.org/wiki/%E6%B0%B4%E6%9C%A8%E3%81%97%E3%81%92%E3%82%8B%E8%A8%98%E5%BF%B5%E9%A4%A8;採用
;お花大権現(林下寺);おはなだいごんげん;folk;徳島県;三好郡東みよし町;34.034000;133.879000;徳島県三好郡東みよし町中庄2271;縁切り・縁結びの寺・境内拝観自由;https://ja.wikipedia.org/wiki/%E6%9E%97%E4%B8%8B%E5%AF%BA;採用
;南蔵院(釈迦涅槃像);なんぞういんしゃかねはんぞう;folk;福岡県;糟屋郡篠栗町;33.633000;130.534000;福岡県糟屋郡篠栗町篠栗1035;像高41m・世界最大級ブロンズ涅槃像・拝観時間内;https://ja.wikipedia.org/wiki/%E5%8D%97%E8%94%B5%E9%99%A2_(%E7%AF%A0%E6%A0%97%E7%94%BA);採用
;日輪寺(山鹿大仏);にちりんじやまがだいぶつ;bkyu;熊本県;山鹿市;32.937000;130.681000;熊本県山鹿市杉1607;おびんずる像・像高約14m・駐車場有料;http://www7b.biglobe.ne.jp/~fukuokahatu/nichirinji.html;採用
;別府地獄大仏(金龍地獄大仏);べっぷじごくだいぶつ;bkyu;大分県;別府市;33.339000;131.488000;大分県別府市鉄輪;像高5m・地獄温泉地帯・観光時間内;http://sakahara.cocolog-nifty.com/blog/2012/05/post-0b4e.html;採用
;大弁財天(最福寺);だいべんざいてん;folk;鹿児島県;鹿児島市;31.515000;130.587000;鹿児島県鹿児島市平川町4850;木造弁財天像・像高18.5m・拝観時間内・2000年建立;http://sakahara.cocolog-nifty.com/blog/2012/05/post-0b4e.html;採用
