id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;三峯神社;みつみねじんじゃ;folk;埼玉県;秩父市;35.925400;138.931600;埼玉県秩父市三峰298-1;狼信仰(御眷属)の総本山・標高1100m山頂・冬季積雪/凍結注意;https://www.mitsuminejinja.or.jp;採用
;筑波山ガマ石;つくばさんがまいし;mystery;茨城県;つくば市;36.225300;140.106700;茨城県つくば市筑波1 (女体山頂付近);登山道上の奇岩・ケーブルカー山頂駅から徒歩10分・冬季凍結注意;https://mt-tsukuba.com/hiking/summit-connector/;採用
;ダイダラ坊の背負い石;だいだらぼうのしょいいし;mystery;茨城県;桜川市;36.330000;140.105000;茨城県桜川市平沢 平沢林道沿い;巨人伝説の霊石・林道アクセスのため歩きやすい靴推奨;https://uratsukuba.hatenablog.jp/entry/2022/04/10/000000_6;採用
;楯築遺跡;たてつきいせき;mystery;岡山県;倉敷市;34.662800;133.825300;岡山県倉敷市矢部 (庄新町8-1-2);弥生時代後期の墳丘墓・国史跡・頂上に5つの巨石・見学自由;https://www.okayama-kanko.jp/spot/detail_10338.html;採用
;玉比咩神社(立石);たまひめじんじゃたていし;folk;岡山県;玉野市;34.487000;133.926000;岡山県玉野市玉 玉比咩神社境内;御神体は高さ10m超の巨石・火の玉伝説・安産祈願・境内自由;https://www.okayama-kanko.jp/okatabi/679/page;採用
;源宗坊寺;げんそうぼうじ;bkyu;広島県;呉市;34.249000;132.566000;広島県呉市清水3-14;明治39年源宗大僧正建立・カラフルなコンクリート仏像群・参拝自由;https://dive-hiroshima.com/explore/1093/;採用
;鼓岩(ポンポン岩);つづみいわぽんぽんいわ;mystery;広島県;尾道市;34.410800;133.196500;広島県尾道市東土堂町19-1 (千光寺公園内);叩くと太鼓状の音が響く奇岩・千光寺ロープウェイ山頂駅から徒歩5分;https://www.senkouji.jp/discovery/detail.php?id=14;採用
;八釜の甌穴群;やかまのおうけつぐん;mystery;愛媛県;上浮穴郡久万高原町;33.526200;132.992000;愛媛県上浮穴郡久万高原町柳井川;国指定特別天然記念物・大小35個の甌穴群・遊歩道片道1.2km・足元注意;https://www.pref.ehime.jp/ehimenotakara/479.html;採用
;定義如来 西方寺;じょうぎにょらいさいほうじ;folk;宮城県;仙台市青葉区;38.363700;140.668300;宮城県仙台市青葉区大倉字上下1;浄土宗極楽山西方寺・五重塔・三角油揚げで有名・拝観時間内のみ;https://jogi.jp;採用
;ラ コリーナ近江八幡;らこりーなおうみはちまん;bkyu;滋賀県;近江八幡市;35.142000;136.107000;滋賀県近江八幡市北之庄町615-1;建築家・藤森照信設計の屋根に芝生の館・たねやグループ本社・営業時間内;https://taneya.jp/la_collina/;採用
