id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;万体地蔵尊（赤神神社五社堂）;あかがみじんじゃごしゃどう;folk;秋田県;男鹿市;39.902800;139.745600;秋田県男鹿市船川港本山門前祓川35;999段の石段は急峻で苔むしており滑落注意。雨天時・冬季は危険。日没前に下山推奨;https://akita-yulala.jp/spot/5006;採用
;マタギ資料館;またぎしりょうかん;folk;秋田県;北秋田市;39.951900;140.427500;秋田県北秋田市阿仁打当字陣場岱33;通年開館だが冬期は積雪のためアクセス道注意。最寄り駅から徒歩遠距離;https://www.city.kitaakita.akita.jp/;採用
;杉の大スギ（八坂神社）;すぎのおおすぎ;nature;高知県;大豊町;33.756100;133.660600;高知県長岡郡大豊町杉794;国特別天然記念物・周辺は山間部で冬季積雪あり。立入は遊歩道のみ;https://otoyo-kankou.com/;採用
;沢田マンション;さわだまんしょん;bkyu;高知県;高知市;33.549700;133.533300;高知県高知市薊野北町1丁目10;現役居住物件・私有地。外観見学・1階通路のみ。住民への配慮必須・撮影は最小限;https://ja.wikipedia.org/wiki/%E6%B2%A2%E7%94%B0%E3%83%9E%E3%83%B3%E3%82%B7%E3%83%A7%E3%83%B3;採用
;押戸石の丘;おしといしのおか;mystery;熊本県;南小国町;33.062800;131.113100;熊本県阿蘇郡南小国町中原;私有地のため見学料あり・受付必須。草原地帯で天候急変注意;https://minamioguni.jp/;採用
;通潤橋;つうじゅんきょう;folk;熊本県;山都町;32.679200;130.992800;熊本県上益城郡山都町長原;国宝・橋上歩行は条件付き解禁。放水見学は事前確認推奨;https://www.town.kumamoto-yamato.lg.jp/;採用
;武雄の大楠;たけおのおおくす;folk;佐賀県;武雄市;33.192800;130.016700;佐賀県武雄市武雄町大字武雄5335 武雄神社;国天然記念物・近接立入制限あり。観覧路から拝観;https://takeo-jinjya.jp/;採用
;軍艦島デジタルミュージアム;ぐんかんじまでじたるみゅーじあむ;ruin;長崎県;長崎市;32.746100;129.873600;長崎県長崎市松が枝町5-6;端島本体は上陸困難な廃墟・本ミュージアムが代替施設として安全。屋内施設;https://www.gunkanjima-museum.jp/;採用
;知覧特攻平和会館・三角兵舎;ちらんとっこうへいわかいかん;ruin;鹿児島県;南九州市;31.362200;130.445600;鹿児島県南九州市知覧町郡17881;史跡・公開施設として安全管理されている。煽情的扱い厳禁;https://www.chiran-tokkou.jp/;採用
;西の河原公園（賽の河原）;さいのかわらこうえん;folk;群馬県;草津町;36.623300;138.591900;群馬県吾妻郡草津町草津521-3;湧出温泉のため強酸性・高温。立入禁止ロープ厳守。湯気多く視界悪化に注意;https://www.kusatsu-onsen.ne.jp/;採用
