id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;長谷寺 だだおし;はせでら だだおし;fire;奈良県;桜井市;34.5365;135.9077;奈良県桜井市初瀬731-1（真言宗豊山派 総本山 長谷寺）;修二会の結願として行われる追儺会。本祭は毎年2月14日（午後3時頃～松明は午後4時頃）。赤・青・緑の3匹の鬼が長さ約4.5mの大松明と共に本堂を3周。閻浮檀金宝印を額に当てる加持あり。松明の火の粉に注意、ストロボ等の撮影は事前確認を。;https://www.hasedera.or.jp/promotion/1/blog_detail.html?key=entry&value=113;採用
;栗田祭（住吉神社の喧嘩神輿）;くんだまつり（すみよしじんじゃのけんかみこし）;weird;京都府;宮津市;35.5400;135.2700;京都府宮津市上司1332-1（住吉神社）;宮津市東部・栗田半島の総称的秋祭で、住吉神社では膝丈の短い裾の着物姿で2地区の氏子が"先棒取り"を争う激しい喧嘩神輿。本祭は毎年10月第2土・日曜（住吉神社は日曜）。神輿同士のぶつかり合いがあり接近は危険、安全エリアからの見物推奨。;https://www.city.miyazu.kyoto.jp/site/citypro/12383.html;採用
;火渉祭（火渡り）;かしょうさい（ひわたり）;fire;茨城県;桜川市;36.3260;140.1340;茨城県桜川市真壁町長岡809（加波山三枝祇神社本宮）;冬至前後に行われる「火渡り」と呼ばれる火渡り神事。本祭は毎年12月22日冬至（うるう年は12月21日）、正午～点火午後1時頃。境内に薪を積み上げ素足で踏み渉る荒行。燃え残りは持ち帰り魔除けに。火の粉と火傷に注意、見物者の安全エリア遵守。;http://www.kankou-sakuragawa.jp/page/page000049.html;採用
;圓教寺 修正会 鬼追い会式;えんぎょうじ しゅしょうえ おにおいえしき;fire;兵庫県;姫路市;34.8800;134.6440;兵庫県姫路市書写2968（書寫山圓教寺）;966年の創建以来1000年以上続く伝統行事。本祭は毎年1月18日（午後1時頃〜白山権現神社→摩尼殿）。赤鬼（毘沙門天の化身・若天）と青鬼（不動明王の化身・乙天）が松明を持ち境内を踏み鳴らす「鬼踊り」。火の粉飛散・転倒注意、混雑時の摩尼殿周辺は譲り合いを。;https://www.mlit.go.jp/tagengo-db/common/001557727.pdf;採用
;神明宮 あぶりもち神事;しんめいぐう あぶりもちしんじ;folk;石川県;金沢市;36.5570;136.6520;石川県金沢市野町2-1-8（神明宮）;300年以上続く全国唯一の悪事災難厄除特殊神事。本祭は春季5月15日～17日、秋季10月15日～17日（各日9時～19時）。御幣形の餅を聖火であぶって食すと一年の災厄を逃れるとされる。混雑時は授与所での待機列に従うこと。加賀藩前田家が推奨した民俗。;https://www.shinmeiguu-kanazawa.jp/%E3%81%8A%E7%9F%A5%E3%82%89%E3%81%9B/;採用
;小浜放生祭;おばまほうじょうまつり;folk;福井県;小浜市;35.4960;135.7470;福井県小浜市旧小浜地区各所（八幡神社例祭、まちの駅周辺）;江戸時代から続く小浜城下24区の町人居住区が担当する祭礼。本祭は毎年9月第2土・日曜（2026年は9/12-13予定）。神輿・大太鼓・神楽・獅子・山車などの演し物が2日間にわたり旧小浜町内を巡行。380年超の歴史。沿道は混雑、火気を扱う演目あり離れて見物を。;https://wakasabay.jp/list/detail?genre=event&id=686f4770905bd44352000001;採用
;鳥取しゃんしゃん祭 一斉傘踊り;とっとりしゃんしゃんまつり いっせいかさおどり;other;鳥取県;鳥取市;35.4960;134.2380;鳥取県鳥取市若桜街道周辺（鳥取駅前～片原通り～智頭街道）;1965年に大森神社の例祭と「因幡の傘踊り」を組合せた祭。本祭は毎年8月中旬の盆期間、一斉傘踊りは18時～。2014年に「世界最大の傘踊り」としてギネス世界記録認定。100連4000人超の踊り手が3km弱のコースで踊る。市内中心部の混雑・熱中症対策を。;https://www.tottori-guide.jp/tourism/tour/view/72;採用
;東湖八坂神社祭 牛乗り・くも舞;とうこやさかじんじゃさい うしのり・くもまい;animal;秋田県;潟上市;39.8830;140.0420;秋田県潟上市天王字天王106（東湖八坂神社）；男鹿市船越;国指定重要無形民俗文化財「統人行事」。本祭は毎年7月7日（前日6日から）9:00～21:00、牛乗り巡幸は7日16:00～。素戔嗚尊役の神人が御神牛に乗り潟上市天王地区と男鹿市船越地区を巡行、船越地区から八岐大蛇が「くも舞」（蝶舞）を演じる。沿道は混雑、駐車場なし公共交通推奨。;https://www.city.katagami.lg.jp/soshiki/sangyoushinkoubu/shoukoukankoushinkouka/kankoukouryu/kankoevent/891.html;採用
;風浪宮大祭 裸ん行;ふうろうぐうたいさい はだかんぎょう;naked;福岡県;大川市;33.2200;130.3760;福岡県大川市酒見726-1（風浪宮）;筑後三大火祭りの一つ「おふろうさんまつり」。本祭は毎年2月9日～11日、裸ん行は10日19:30～若津神社から風浪宮まで約3km。締込み姿にねじり鉢巻・白足袋の若者が松明を片手に樽神輿を担いで駆け抜ける。沿道交通規制（10日19:30-21:00）あり、火傷・転倒注意。;https://www.crossroadfukuoka.jp/event/11109;採用
;早飯食い祭;はやめしくいまつり;weird;高知県;土佐町;33.7560;133.5910;高知県土佐郡土佐町南川（南川大谷寺周辺）;平家の落人伝説に由来する300年以上続く奇祭。本祭は毎年11月の秋祭りに合わせて開催。出前に急いで腹ごしらえした武将を模し、参加者が早食い競技を奉納。長さ40m近い大数珠を担ぎ念仏を唱えながら舞堂を回る数珠繰りも併催。中山間地のため早めの移動と防寒を。;https://www.youtube.com/watch?v=C01nLYk-xcw;保留
