id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
fest-142;大日向の火とぼし;おおひなたのひとぼし;fire;群馬県;甘楽郡南牧村;36.150000;138.883333;群馬県甘楽郡南牧村大字大日向(大日向橋・安養寺付近);8月14・15日18時頃から。麦藁松明を子どもと男衆が橋上で振り回す「あばれ祭」型の火祭り。火の粉散乱、観覧は橋から距離をとる。臨時駐車場は旧南牧中学校;https://www.pref.gunma.jp/uploaded/attachment/641678.pdf;採用
fest-143;片品の猿追い祭;かたしなのさるおいまつり;animal;群馬県;利根郡片品村;36.762778;139.244167;群馬県利根郡片品村花咲1227(武尊神社);9月の最終日曜日。約700年の歴史を持つ国指定重要無形民俗文化財。神の使いの猿を追って境内を駆け回る神事。山間部で日が暮れると寒暖差大;https://oze-katashina.info/kanko/197/;採用
fest-144;放生津八幡宮祭の曳山・築山行事;ほうじょうづはちまんぐうさいの ひきやま・つきやまぎょうじ;other;富山県;射水市;36.781944;137.094444;富山県射水市八幡町2-2-27(放生津八幡宮);10月1-2日。13本の曳山が昼は花山・夜は提灯山となり町中を練る。築山は2日に神事後夕方撤収。国指定重要無形民俗文化財・ユネスコ無形文化遺産;https://www.info-toyama.com/attractions/21058;採用
fest-145;沼名前神社 お手火神事;ぬなくまじんじゃ おてびしんじ;fire;広島県;福山市;34.382500;133.380278;広島県福山市鞆町後地1225(沼名前神社);7月第2土曜の前夜20時。重さ約150-200kg・長さ約4.5mの大手火を担いで大石段を登る。日本三大火祭りの一つ。火気・落下リスクあり観覧は安全距離から;https://tomo-gionsan.com/;採用
fest-146;大磯の左義長(セエノカミサン);おおいそのさぎちょう(せえのかみさん);fire;神奈川県;中郡大磯町;35.305611;139.314444;神奈川県中郡大磯町大磯1990先(北浜海岸);1月14日前後の土曜夜。9地区の道祖神信仰の火祭り。海岸で巨大なオンベ(セエト)を燃やす国指定重要無形民俗文化財。海風強く火の粉飛散、防寒・防火必要;https://www.town.oiso.kanagawa.jp/soshiki/kyoiku/shogaigakushu/tanto/culture/18534.html;採用
fest-147;大山祇神社 一人角力(御田植祭);おおやまづみじんじゃ ひとりずもう(おたうえさい);weird;愛媛県;今治市;34.250833;133.000556;愛媛県今治市大三島町宮浦3327(大山祇神社);旧暦5月5日(御田植祭)と旧暦9月9日(抜穂祭)。力士1名が「見えない稲の精霊」と三本勝負で相撲をとる愛媛県指定無形民俗文化財。本殿前広場;https://oomishimagu.jp/;採用
fest-148;竹崎観世音寺 修正会鬼祭;たけざきかんぜおんじ しゅしょうえおにまつり;weird;佐賀県;藤津郡太良町;33.075833;130.184444;佐賀県藤津郡太良町大浦甲竹崎(竹崎観世音寺);1月2-3日。赤い着物の鬼副が鬼箱を持ち出し、ふんどし姿の男衆がぶつかり合う国指定重要無形民俗文化財。海辺の島の丘上、夜間冷え込み激しい;https://www.town.tara.lg.jp/kanko/_1595.html;採用
fest-149;長崎くんち(諏訪神社例大祭);ながさきくんち(すわじんじゃれいたいさい);other;長崎県;長崎市;32.748056;129.881111;長崎県長崎市上西山町18-15(鎮西大社諏訪神社);10/7-9。380年以上続く奉納踊。龍踊・コッコデショ・鯨の潮吹きなど唐人・南蛮文化が融合した「奉納踊」が国指定重要無形民俗文化財。各演し物移動に伴い諏訪神社・お旅所・八坂神社・中央公園で展開;https://nagasaki-kunchi.com;採用
fest-150;本川神楽;ほんがわかぐら;folk;高知県;吾川郡いの町;33.601944;133.155278;高知県吾川郡いの町(本川各神社・本川地区);11月中旬-12月上旬の祭礼期間中に旧本川村区域の各神社で奉納。座つき・神迎え・鬼神争いなど多演目を一晩通じて舞う国指定重要無形民俗文化財「土佐の神楽」の一つ。夜神楽・山間部冷え込み;https://www.kochinet.ed.jp/bunkazai/details/300-1/300-1-m02-2.htm;採用
fest-151;西祖谷の神代踊;にしいやのじんだいおどり;folk;徳島県;三好市;33.853611;133.808333;徳島県三好市西祖谷山村善徳(善徳天満宮)・徳善(有宮神社);旧暦6月25日に善徳地区の善徳天満宮、旧暦9月11日頃に徳善地区の有宮神社で奉納。1100年以上の歴史。獅子・天狗・花笠衣装の男女が棒・扇で踊る国指定重要無形民俗文化財。ユネスコ無形文化遺産「風流踊」構成;https://www.pref.tokushima.lg.jp/ippannokata/kyoiku/bunka/7211477/;採用
