id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;能褒野神社（ヤマトタケル能褒野陵）;のぼのじんじゃ;folk;三重県;亀山市;34.885487;136.483398;三重県亀山市田村町1409;ヤマトタケル能褒野陵に隣接、宮内庁治定の御陵は柵越し参拝。本祭4月8日（新暦）;https://www.kankomie.or.jp/spot/3037;採用
;油島千本松締切堤・治水神社;あぶらじませんぼんまつしめきりつつみ;bkyu;三重県;桑名市;35.093864;136.689987;三重県桑名市長島町西外面1957;宝暦治水（薩摩義士）の現場、千本松原と治水神社。本祭4/25薩摩義士祭。木曽三川公園内、駐車場あり;https://www.kisosansenkoen.jp/abura/;採用
;大野神社の獅子舞（美杉下之川）;おおのじんじゃのししまい;folk;三重県;津市;34.558048;136.333664;三重県津市美杉町下之川;本祭10月第2日曜（新暦）、奥山の獅子神楽、市指定無形民俗。山道アクセスで冬季凍結注意;https://www.bunka.pref.mie.lg.jp/Miebunka/detail?cls=cult_col01&pkey=0000003200;採用
;赤目四十八滝・延寿院不動信仰;あかめしじゅうはちたきえんじゅいんふどう;folk;三重県;名張市;34.572472;136.085327;三重県名張市赤目町長坂861-1;役行者赤目牛伝説、滝行場、忍者修行地。入山料500円、滝沿い遊歩道は滑落注意;https://www.akame48taki.com/;採用
;積田神社（春日大社元社・鹿伝承）;つみたじんじゃ;folk;三重県;名張市;34.618855;136.109131;三重県名張市夏見2162;春日大社の元社伝承、鹿が出立した地。本祭10月第3土日（新暦・神事獅子舞）;https://www.kankomie.or.jp/spot/3083;採用
;答志島 八幡祭・寝屋子制度;とうしじまはちまんさい ねやこせいど;folk;三重県;鳥羽市;34.524464;136.891861;三重県鳥羽市答志町;本祭9月15日（新暦）。日本最後の寝屋子（若衆宿）制度が残る島。佐田浜港から定期船;https://www.toba.gr.jp/spot/toushijima/;採用
;遊木のジョウオウ祭（熊野市）;ゆきのじょうおうまつり;folk;三重県;熊野市;33.925652;136.179382;三重県熊野市遊木町;本祭1月15日小正月（新暦）、子供主役の悪魔払い行事。遊木漁港集落の匿名集団伝承;https://kumano-kanko.com/spot/yuki-joou/;採用
;専修寺（高田本山・国宝御影堂）;せんじゅじ;folk;三重県;津市;34.762329;136.503815;三重県津市一身田町2819;真宗高田派本山、御影堂・如来堂が国宝（2017指定）。本祭1月9〜16日報恩講。駐車場あり、堂内拝観無料;https://www.senjuji.or.jp/;採用
;椋本の大椋（巨樹信仰）;むくもとのおおむく;folk;三重県;津市;34.811752;136.432480;三重県津市芸濃町椋本;国指定天然記念物（樹齢1500年とされる椋）、椋本宿の御神木、注連縄あり境内自由;https://www.bunka.pref.mie.lg.jp/Miebunka/detail?cls=cult_col01&pkey=0000000051;採用
;射和の天王さん祭（射和神社祇園祭）;いざわのてんのうさんまつり;folk;三重県;松阪市;34.511078;136.541306;三重県松阪市射和町1073;本祭7月14日（新暦・祇園系）、富商町射和の夏祭、町指定無形民俗。櫛田川沿い駐車場;https://www.kankomie.or.jp/spot/3401;採用
