id;name;name_kana;category;prefecture;city;lat;lng;address;safety_note;source_url;decision
;迦葉山弥勒護国禅寺;かしょうざんみろくごこくぜんじ;folk;群馬県;沼田市;36.7806;139.0247;群馬県沼田市上発知町445;山中の禅寺。境内まで車道あり。冬季積雪に注意。中峯堂は無料拝観だが本堂は法要時拝観要相談。天狗面の大きさ撮影時は本堂受付に一声。;https://www.kashozan.or.jp/;保留
;高川仁井田神社 早飯食い;たかがわにいだじんじゃ はやめしくい;folk;高知県;高知市;33.6320;133.4920;高知県高知市土佐山高川甲4006;山間地の小社。例祭時のみ賑わうが普段は無人。参道整備済。早飯食い神事は11月の特定日のみ実施で一般飛び入りは不可、見学は事前確認推奨。;https://newsdig.tbs.co.jp/articles/kutv/1542423;保留
;新北神社 桃玉;にきたじんじゃ ももだま;folk;佐賀県;佐賀市;33.2884;130.2520;佐賀県佐賀市大和町大字川上3466;市街地近郊の神社で安全。桃玉は1個300円程度、社務所窓口で随時授与・投擲可。境内の石神様（御神体石）に投げる慣習。御神木ビャクシン樹齢2000年も見所。;http://www.nikitajinjya.com/;採用
;放牛石仏 100体目;ほうぎゅうせきぶつ ひゃくたいめ;folk;熊本県;熊本市;32.8064;130.6680;熊本県熊本市西区池田1-2-50（往生院境内）;往生院寺院内・常時参拝可。江戸期の僧・放牛が父の供養に建立した石仏群の最終100体目（高さ186cm）。県内に107体以上点在し巡礼可。;https://kumamoto-guide.jp/spots/detail/219;採用
;でやんな祭 耳浦神社;でやんなまつり みみうらじんじゃ;weird;島根県;隠岐郡西ノ島町;36.0980;133.0070;島根県隠岐郡西ノ島町美田耳浦;★重要：祭儀そのものが「見てはならない」性格。深夜に行われ氏子以外の見学・撮影は厳禁伝承あり。サイト掲載は祭の存在と神社所在のみに留め、儀式詳細は地元文献の範囲内で。神社自体は昼間参拝可。;https://ja.wikipedia.org/wiki/%E3%81%A7%E3%82%84%E3%82%93%E3%81%AA%E7%A5%AD;保留
;佐陀神能 佐太神社;さだしんのう さだじんじゃ;folk;島根県;松江市;35.5440;132.9970;島根県松江市鹿島町佐陀宮内73;ユネスコ無形文化遺産・国指定重要無形民俗文化財。9月24-25日の御座替神事で奉納。神社境内は常時参拝可、舞は事前に佐太神社公式へ拝観可否確認推奨。;http://sadajinjya.jp/;採用
;甑島のトシドン;こしきしまのとしどん;folk;鹿児島県;薩摩川内市;31.7770;129.7820;鹿児島県薩摩川内市下甑町青瀬;ユネスコ無形文化遺産・国指定重要無形民俗文化財。大晦日に来訪神が子どもを訓戒する行事。離島開催・島民の私的行事のため一般見学は地区により制限あり。鹿児島県教委または薩摩川内市観光協会に事前確認必須。;https://www.pref.kagoshima.jp/ab10/kyoiku-bunka/bunka/museum/shichoson/satumasendai/doshidon.html;保留
;鬼ヶ島大洞窟;おにがしまだいどうくつ;mystery;香川県;高松市;34.4250;134.0830;香川県高松市女木町235;桃太郎伝説の舞台とされる人工洞窟（大正3年発見）。整備済・有料施設で安全。フェリーで高松港から20分。瀬戸内国際芸術祭の作品展示も。;https://www.megi-kkk.com/;採用
;猿島;さるしま;mystery;神奈川県;横須賀市;35.2840;139.6900;神奈川県横須賀市猿島1;旧軍要塞跡の無人島。フェリーで横須賀三笠桟橋から10分・有料整備施設。レンガ造りトンネル「三又路」が異世界的景観。立入禁止区域あり・指定通路のみ通行可。夜間立入不可。;https://www.sarushima.jp/;採用
;徳島眉山天神社 おむつき祭;とくしまびざんてんじんじゃ おむつきまつり;weird;徳島県;徳島市;34.0680;134.5450;徳島県徳島市新町橋2丁目20;市街地・神社境内常時参拝可。御神体を新しい衣に着替えさせる珍しい神事（江戸期から続く）。執行日は事前に天神社社務所に確認、見学可否は当日対応。;https://www.bizan-tenjinsya.com/;保留
